date,future_return_5d,signal,strategy_return,equity
2020-02-12,0.1697649257401396,0,0.0,1.0
2020-02-19,-0.2598231277286466,0,-0.0,1.0
2020-02-26,-0.0967166309778729,0,-0.0,1.0
2020-03-04,0.1896100497252026,0,0.0,1.0
2020-03-11,0.1472803347280336,0,0.0,1.0
2020-03-18,-0.2952997561590852,0,-0.0,1.0
2020-03-25,-0.3219903206291592,0,-0.0,1.0
2020-04-01,0.0780323982615567,0,0.0,1.0
2020-04-08,0.3167968320316796,0,0.0,1.0
2020-04-15,-0.4473924142961343,0,-0.0,1.0
2020-04-22,-0.1685956329793579,0,-0.0,1.0
2020-04-29,0.7606513495427172,0,0.0,1.0
2020-05-06,0.0417811984606926,0,0.0,1.0
2020-05-13,-0.5458190627349429,0,-0.0,1.0
2020-05-20,0.8092723972941758,0,0.0,1.0
2020-05-27,0.6869977037887482,0,0.0,1.0
2020-06-03,-0.0333206638793869,0,-0.0,1.0
2020-06-10,0.3099384344766929,0,0.0,1.0
2020-06-17,0.8192017656796027,1,0.0,1.0
2020-06-24,-0.48504468356739,0,-0.48504468356739,0.5149553164326099
2020-07-01,-0.5766056997022544,0,-0.0,0.5149553164326099
2020-07-08,0.5587155963302755,0,0.0,0.5149553164326099
2020-07-15,0.0910433731704041,1,0.0,0.5149553164326099
2020-07-22,-0.4323122030128399,0,-0.4323122030128399,0.29233384913245425
2020-07-29,-0.0407295909332388,0,-0.0,0.29233384913245425
2020-08-05,1.2003214788024916,0,0.0,0.29233384913245425
2020-08-12,-0.2204658202303877,0,-0.0,0.29233384913245425
2020-08-19,0.4543999999999999,1,0.0,0.29233384913245425
2020-08-26,0.2881567230632236,1,0.2881567230632236,0.3765718131389211
2020-09-02,0.9462802289089902,1,0.9462802289089902,0.7329142746766928
2020-09-09,-0.1266550999908684,0,-0.1266550999908684,0.6400869439327814
2020-09-16,-0.0477834106353143,0,-0.0,0.6400869439327814
2020-09-23,-0.3371414064483371,0,-0.0,0.6400869439327814
2020-09-30,0.2253560071892713,0,0.0,0.6400869439327814
2020-10-07,-0.6148155174049132,0,-0.0,0.6400869439327814
2020-10-14,-0.2876411543287328,0,-0.0,0.6400869439327814
2020-10-21,-0.0583371091980063,0,-0.0,0.6400869439327814
2020-10-28,-0.3043533767394356,0,-0.0,0.6400869439327814
2020-11-04,-0.3170484034751212,0,-0.0,0.6400869439327814
2020-11-11,1.859147993105147,0,0.0,0.6400869439327814
2020-11-18,0.0697196536034052,1,0.0,0.6400869439327814
2020-11-25,0.272825694695056,1,0.272825694695056,0.8147191090764779
2020-12-02,-0.0192695907505965,0,-0.0192695907505965,0.7990198052678836
